Gum
Number of characters
English [42]: Name the constant containing the value 45:
Hebrew [43]: תנו שם לקבוע 45:
+----+--------+---------+
|    | Hebrew | English |
+----+--------+---------+
| 3  | 0      | 1       |
| 8  | 2      | 2       |
| 9  | 2      | 2       |
| 10 | 0      | 1       |
| 11 | 1      | 1       |
| 12 | 3      | 1       |
| 13 | 4      | 6       |
| 14 | 7      | 5       |
| 15 | 6      | 5       |
| 16 | 1      | 1       |
| 17 | 1      | 6       |
| 18 | 5      | 2       |
| 19 | 2      | 1       |
| 20 | 2      | 0       |
| 21 | 1      | 0       |
| 22 | 2      | 3       |
| 23 | 1      | 1       |
| 24 | 1      | 1       |
| 25 | 1      | 0       |
| 26 | 1      | 2       |
| 30 | 0      | 1       |
+----+--------+---------+
