StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q33,Q156,Q35,Q40,Q41,Q42,Q52,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q94b,Q95b,Q96b,Q100,Q101,Q102,Q106,Q107,Q108,Q112,Q113,Q114,Q115,Q118,Q119,Q157,Q158,Q122,Q126,Q129,Q135,Q147,Q146,Q145,Q148,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,פרטים דמוגרפיים,פרטים דמוגרפיים - גיל,פרטים דמוגרפיים - שנות ניסיון בתכנות   (כולל צבא אם רלוונטי),האם הינך סטודנט בתחום הקשור לתוכנה/מחשב?,לאיזה תואר אתה לומד?,מהי שנת הלימוד שלך לתואר - בחר,האם את מכיר את המשחק?,"מה לדעתך עושה הממשק הבא:  (expose(row, col",Are you familiar with this game?,"What do you think is the function of the following interface:  expose(row, col)",מה לדעתך עושה הממשק?,מה תפקידו של פרמטר hours?,מה תפקידו של פרמטר rate?,ממשו את הממשק.,What do you think the interface does?,What is the purpose of hours parameter?,What is the purpose of rate parameter?,Implement the interface.,"The implementation includes a function make_turn(int row, int col) What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation includes a function make_turn(int row, int col) What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","במימוש יש פונקציה  make_turn(int row, int col)  למה לדעתך היא משמשת?",מה תפקיד של הפרמטר row?,מה תפקיד של הפרמטר col?,"The implementation contains a function arrangeFilesByName(files)  In your opinion, what does it do?",What is the role of the parameter? what is its type?,What do you think it returns?,במימוש יש פונקציה arrangeFilesByName(files) למה לדעתך היא משמשת?,מה תפקיד הפרמטר? מה טיפוסו?,מה לדעתך היא מחזירה?,"נתון הממשק:  (profit(units, cost, price. מה לדעתכם עושה הממשק?",מה מציין פרמטר units?,מה מציין פרמטר cost?,מה מציין פרמטר price?,"What do you think  profit (units, cost, price)  function does?","What is the purpose of the ""units"" parameter?","What is the purpose of the ""cost"" parameter?","What is the purpose of the ""price"" parameter?",What does this code do?,Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor. Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor.,מה עושה קטע קוד זה?,סתיו רוצה לבדוק אם תיקנה כמו שצריך את הקוד. היא נכנסת למעלית בקומה 0 התחתונה ולוחצת על כל הכפתורים יחדיו. הציפיה היא שהמעלית תעלה ותיפתח קומה קומה.  כתבו פסאודו קוד של לולאה שעוברת על כל הקומות בסדר עולה החל מקומה 0 ופותחת את הדלת בכל קומה.,מה לדעתך טיפוסו של הערך המוחזר?,מה הערכים האפשריים לערך המוחזר?,מה תפקידם של הפרמטרים?,מה הטיפוסים והערכים האפשריים שלהם?,"בספריה ישנה פונקציה (add(a, b .  מה לדעתך תחזיר  ([add([1,2,3], [4,5,6?",מה לדעתך הפונקציה עושה?,"לאובייקט תמונה יש שדה המציין את רוחב התמונה, width.כתוב את שורת הקוד המעדכנת את שדה זה בפונקציה הנ""ל.",Q118 - Topics,Q31_2 - Topics
2018-05-14 13:20:42,2018-05-14 13:46:54,IP Address,,100,1571,True,2018-05-14 13:46:54,R_265CNmwQMfIvuRG,,,,,,,anonymous,HE,זכר,24,,כן,תואר ראשון,2,כן,מראה מה יש במשבצת(לא אומר שהמשתמש לחץ עליו ספציפית!),,,מכניס לחשבון הבנק את השכר לפי חישוב שעות כפול ערך שכר,מספר שעות העבודה של העובד באותו חודש,השכר לשעה של אותו חודש,salary = rate*hours insert_to_bank_account(salary),,,,,,,,בוחר עבור השחקן הנוכחי את המשבצת בקואורדינטות שנבחרו,בחירת השורה לסמן,בחירת העמודה לסמן,,,,,,,ממיינת את רשימת הקבצים לפי סדר מילוני,'files' is a list(of 'file' objects),כלום(VOID)-היא משנה את הרשימה המקורית,,,,,return units*(price-cost),מספר המוצרים שנמכרו,עלות הייצור/קניה של המוצר עבור המוכר,המחיר שבו מוכרים את המוצר,,,,,string,"playerA, playerB",לציין את שמות השחקנים שביניהם בוחרים מנצח,כל מחרוזת תקנית בשפה שבחרנו לממש בה,"[5,7,9] הכי סביר","מגדילה-""מותחת"" את התמונה לפי היחס(בכל קואורדינטה! כלומר סה""כ השטח גדול פי פקטור בריבוע)",image.width = image.width * factor,Unknown,
2018-05-14 14:59:27,2018-05-14 16:24:25,IP Address,,100,5098,True,2018-05-14 16:24:27,R_2tnhCxpdRwi0FMr,,,,,,,anonymous,HE,זכר,22,3,כן,תואר שני,1,,,Yes,"לחשוף את המשבצת ב col ו row המתאימים. אם זה מוקש לסיים את במשחק, ואם לא אז לחשוף למשתמש את הערך של המשבצת.",משלם לעובד לפי השכר שלו וכמות השעות שהוא עבד,כמות השעות שהעובד עבד,השכר של העובד לשעה,"void pay(hours, rate) {     giveMoney(hours*rate); }",,,,,שם את הערך של השחקן (איקס או עיגול) למשבצת המתאימה לפי ה col וה- row,מספר השורה של המשבצת,מספר העמודה של המשבצת,,,,,,,,,,ממיינת את הקבצים לפי שם הקבצים.,הפרמטר מציין את הקבצים למיון. הטיפוס שלו זה מערך של של אובייקטים מהמחלקה שמייצגת קובץ,מערך ממוין לפי שם קובץ של אובייקטים של המחלקה שמייצגת קובץ.,"מחזיר כמה רווח יעשה כשמוכרים קסטות בהינתן כמות הקסטות, עלות הכנה של כל קסטה, ומחיר כל קסטה.",כמה קסטות מוכרים.,עלות הכנה של כל קסטה,כמה עולה כל קסטה,,,,,,,,,int,"0,1,2",לסמן איזה מהלך שיחק כל שחקן,"int 0,1,2 (ערך לכל מהלך אפשרי: רבן, נייר, מספריים)","[5,7,9]",מגדילה את התמונה פי פקטור מסויים,width *= factor;,,
2018-05-21 12:53:10,2018-05-21 13:13:53,IP Address,,100,1243,True,2018-05-21 13:13:54,R_8xlWlQcKx2MYWqd,,,,,,,anonymous,HE,זכר,27,7,כן,תואר שני,2,כן,לוחצת על הקוביה,,,,,,,calculates the total payment to an employee,how many hours the employee worked,rate* parameter. the hourly rate,return hours*rate;,sets X or O (whichever's applicable) at the appropriate location,determine the row in the board to place a piece,determine the column in the board to place a piece,,,,,,,returns a sorted lists of the files' names,array of strings of file names,array,,,,מחשב כמה ניתן להרוויח ממכירת קסטות שעלות הכנתן היא cost במחיר price,כמה קסטות מוכרים,כמה עלתה הכנת כל קסטה,מחיר שדורשים עבור קסטה,,,,,,,,,int,"0,1","הבחירה של כל שחקן מבין אבן, נייר ומספריים","int, 0,1,2","[1,2,3,4,5,6]",משנה את הגודל של התמונה בפקטור מסוים בכל מימד,width *= factor,,
2018-05-21 12:49:32,2018-05-21 13:19:22,IP Address,,100,1790,True,2018-05-21 13:19:23,R_1LHjKKgjq4RVVGL,,,,,,,anonymous,HE,זכר,28,12,כן,דוקטורט ומעלה,1,,,Yes,Exposes a given square (makes a move in the game),,,,,Pays the worker his/her wage (hours*rate). ,Defines the number of hours worked this month. ,"There is no parameter named ""pay"". ","void worker::pay(double hours, double rate){ this.wage += hours*wage }",Performs a move on the board (changing it). ,It defines the row of the selected move. ,Defines the column of the selected move.  ,,,,,,,,,,,,,,,,,Calculates the profit (price of ingredients- income) from the given number of sandwiches.,It tells us hiw many sandwiches we have. ,How much it costs to produce a sandwich. ,How much we sell and icecream sandwich for. ,Moves the elevator up and down. ,For floor in floors: Go_up(1) Open() Close(),,,"I would probably use an int, but it depends on the rest of the implementation. ",0 or 1,I'm not sure - I wouldn't have written it this way. ,Probably some objects.,"I hope it returns an error.... but otherwise [5,7,9]","Resizes an image by the given factor, meaning returns a picture with more or fewer puxels. ",picture.width = new_width;,Unknown,
2018-05-21 13:03:34,2018-05-21 13:33:25,IP Address,,100,1790,True,2018-05-21 13:33:26,R_2TvIkIjAHPQF8GM,,,,,,,anonymous,HE,זכר,29,7,כן,תואר שני,1,,,Yes,פתיחת תא,,,,,Registers payment for that employee. ,The number of hours ,The rate ,"def pay(hours, rate) : Db. Register(hour * rate) ",,,,,,,שינוי הלוח לאחר תור ,השורה שבה היה השינוי ,הטור בו היה השינוי ,,,,"סידור הקבצים בסדר לקסיקוגרפי מa עד z, לפי שם. ",זה תלוי בשפה בעיני: בשפת C הייתי אומר שזהו פרמטר פלט - המערך שבו יהיו הפוינטרים המוחזרים. בשפות אחרות הייתי אומר שזוהי רשימת קבצים למיון. ,"שוב, תלוי בשפה. בשפת C הייתי אומר שהפרמטר יהיה הצלחה או כישלון. בשפות אחרות זה יכול להיות הרשימה הממוינת","מחשב את הרווח בהינתן מספר היחידות, העלויות והמחיר ",מספר יחידות ,עלויות ,מחיר ,,,,,Controls the elevator given user request ,,,,enum Player,"A, B",הבחירה של כל אחד מהשחקנים ,"enum Move CEASARS, STONE, PAPER ",,"משנה תמונה ע""י פקטור כפלי לממדים (לא לשטח) ",Width *= factor,,
2018-05-21 12:49:56,2018-05-21 13:34:16,IP Address,,100,2660,True,2018-05-21 13:34:17,R_1i3yOjvwQBLg55k,,,,,,,anonymous,HE,זכר,31,16,כן,תואר שני,3,,,,,מחשב משכורת לפי שעות העבודה וערך השכר. (ממשק קצת מעפן.. :) ),כמות השעות של העובד,ערך השכר השעתי,Return rate*hours  (בהנחה שאלו הפרמטרים היחידים למשכורת),,,,,,,,,,,לסמן איקס או עיגול על הלוח,קוארדינטת שורה רצה בין 0 ל 2 או בין 1 ל 3. אם המתכנת פיזיקאי :),אינדקס עמודה,,,,,,,,,,,,,,,,,,,,,,,"5,7,9",משנה את גודל התמונה בפקטור,width=factor*width,,
2018-05-21 13:05:29,2018-05-21 13:38:10,IP Address,,100,1961,True,2018-05-21 13:38:11,R_3qQ0cpW9WNIh6I4,,,,,,,anonymous,HE,זכר,34,3,כן,תואר שני,2,,,,,,,,,Returns the overall salary,How many hours the employee worked,The hourly wage,Return hours * pay,Place a mark on a single place on the board,To know in which row to place the mark,To know in which column to place the mark,,,,,,,"returns an ordered list of the files, ordered lexicography by name","The parameter is the list of files, and it's type is List",A list of ordered files,,,,,,,,(price-cost)*units,To measure how many sandwiches are sold,The price of ingredients per sandwich,The selling price of one sandwich,,,Checks whether the destination is higher or lower than the current floor and executes a move there r,,Int,"1, -1",To represent each player's move,"Int: 1,2,3","[5,7,9]",Resize an image by the given factor,width = width * factor,Unknown,
2018-05-21 13:21:29,2018-05-21 14:01:17,IP Address,,100,2387,True,2018-05-21 14:01:18,R_1DSSJJda7NPvM3e,,,,,,,anonymous,HE,זכר,28,15,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,Yes,"Expose a tile when the use clicks on it, causing it to either explode, expose mine count or reveal nearby tiles.",משלם לעובד (העברה לחשבון בנק וכו') לפי כמות השעות שעבד ושכר העובד.,לציין כמה שעות עבד העובד באותו החודש,לציין את השכר השעתי של עובד,"void pay(float hours, float rate) {   transferFunds(employee.account, hours * rate); }",,,,,,,,,,,,,,,,,למיון קבצים לפי שם בסדר אלפבתי.,מערך של קבצים שיש למיין. טיפוס מערך מסוג File.,הפונקציה לא מחזירה אלא ממיינת את המערך במקום (in-place).,מחשב את הרווח המתקבל ממכירת units קסטות במחיר price ובעלות cost לקניית המצרכים.,מס' קסטות,עלות המצרכים לייצור קסטה אחת,מחיר קסטה אחת,,,,,,,"מניע את המעלית לקומת היעד (למעלה או למטה, בהתאם לקומה הנוכחית וקומת היעד).",for (int floor = 0; floor &lt; FLOOR_COUNT; floor++) {   goToFloor(floor); //goToFloor closes and opens the door as needed },מספר,"0 (תיקו), 1 (A), 2 (B)","לציין את הבחירה של כל משתמש (אבן, נייר או מספריים)","מספרים - 0, 1, 2 (אבן, נייר ומספריים)","[5, 7, 9]",מגדילה או מקטינה תמונה לפי פקטור נתון (פקטור חיובי=הגדלה),image.width *= factor;,,
2018-05-21 12:01:31,2018-05-21 14:12:29,IP Address,,100,7858,True,2018-05-21 14:12:30,R_3nbX6s4MZxYs5AN,,,,,,,anonymous,HE,זכר,29,1,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,משלם לעובד מסויים לפי השעות שעבד כפול השכר השעתי שהוא מקבל,סך השעות שעבד,השכר השעתי שלו,"pay(hours, rate): this.bank_acount += hours*rate",,,,,"adds X or O at the specific cell, according to the current player's turn (X or O) ",Tricky one. Probably it is just what the user meant as the specific row of the wanted cell ,Tricky one. Probably it is just what the user meant as the specific column of the wanted cell ,,,,,,,,,,מיון רשימת הקבצים לפי סדר אלפביתי,"תלוי.. יכול להיות שזה מטיפוס File, אולי זה Path אולי String, אולי בכלל Json...מה שכן, זו רשימה כלשהי המייצגת את כל הקבצים באוסף מסוים.","רשימה ממויינת של כל הקבצים שהועברו אליה, בסדר אלפביתי בסדר עולה",,,,,Returns the difference between the units selled with price price and the total cost spent,The number of ice-cream units sold,The total amount of money spent to produce all ice-creams,The price of a single ice-cream ,,,עולה למעלה/למטה בהפרש שבין הקומה הנוכחית לקומה שנבחרה,for floor in floors:    go_up(1),Integer,"אם A ניצח 1-, אם B ניצח 1, 0 אחרת",אין מספיק מידע כדי שהתשובה תהיה חד משמעית. כנראה כדי לדלות מידע עבור המשחק האחרון ששוחק ביניהם וכדי לעדכן ניקוד,"אבן/נייר/מספריים,Object Player וכו'","[1,2,3,4,5,6] ",מגדילה/מקטינה אובייקט מטיפוס תמונה (כלשהו (ייתכן מטריצה)) בפקטור שבפרמטר,image.setWidth(image.getWidth()*factor),Unknown,
