Q105,Q99,Q130,Q131,Q132,Q134,Q123,Q124,Q125,Q127,Q61,Q62,Q63,Q79,Q80,Q81a,Q57,Q58,Q59,Q37,Q36,Q31,Q32,Q141,Q142,Q143,Q136,Q137,Q138,Q54,Q55,Q44,Q45,Q92,Q81b,Q93,Q109,Q103,Q117,Q111,Q155,Q30,Q144,Q139,Q97,Q84,Q96a
במימוש יש מחלקה המתארת קובץ במערכת. מה לדעתך יהיה שם השדה המתאר את גודל הקובץ?,The implementation contains a class which describes a file within the system. How would you name the field describing the file’s size?,החלף var1 בשם בו אתה היית משתמש.,החלף var2 בשם בו אתה היית משתמש.,החלף var3 בשם בו אתה היית משתמש.,איך הייתם קוראים למשתנה שמתאר את מצב הדלת (פתוחה/סגורה)?,Replace var1 with a name you would have used.,Replace var2 with a name you would have used.,Replace var3 with a name you would have used.,How would you call the variable describing the state of the elevator’s door (open/closed)?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the maze?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the labyrinth?,איך תקרא למשתנה שמציין היכן הגבינה היום?,איך תקרא למשתנה (או למבנה הנתונים) שעוקב אחרי איפה הוא כבר היה?,איך תקרא למבנה הנתונים שמתאר את המבוך?,How would you call the variable which holds the game time?,We will have a data structure which assigns a number to each square in the board as follows:  • -1 if the square contains a mine  • The number of mines in the adjacent squares otherwise  How will you name this data structure?,איך תקרא למשתנה שמחזיק את זמן המשחק?,"נחזיק מבנה נתונים שמתאים לכל משבצת בלוח מספר באופן הבא:​ ​• 1- אם המשבצת מכילה מוקש. • מספר המוקשים במשבצות הצמודות אליה, אחרת.  איזה שם תיתן בקוד שלך למבנה נתונים זה?",תנו שם לקבוע שמחזיק את המספר 4 בהתאם לתפקידו.,תנו שם לקבוע שמחזיק את המספר 2000 בהתאם לתפקידו.,תנו שם משתנה למספר הפינוקים להם זכאי הלקוח בחודש הנוכחי.,Name the constant holding the value 4 according to its purpose.,Name the constant holding the value 2000 according to its purpose.,Name the variable holding the number of benefits the client is entitled to during the current month.,Name the constant containing the value 45:,Name the variable for the hourly wage during overtime pay:,תנו שם לקבוע 45:,תנו שם למשתנה עבור ערך השכר לשעה בשעות הנוספות:,מה יהיה שם המשתנה (או מבנה הנתונים) שמתאר/מחזיק את מצב לוח המשחק כרגע?,How would you name the variable (or data structure) describing the current state of the game board?,How would you name the variable (or data structure) describing the current state of the game grid?,"במימוש יש פונקציה שמקבלת קובץ, בכמה רוצים להגדיל אותו, ואת השטח הפנוי בדיסק, ובודקת האם יש מספיק מקום. הצע חתימה לפונקציה הזו.","The implementation includes a function that receives a file, by how much we want to increase it, and the available space on the disk, and checks whether there is enough space. Suggest a signature for this function.","Write an API function signature to help Ori calculate, given the quantities of ingredients he has, how many sandwiches he can produce.","כתבו חתימה לממשק שיעזור לאורי לחשב, בהינתן כמויות המצרכים הבסיסים שבידיו, כמה קסטות יוכל להכין.",The game’s level of difficulty depends on the grid size and the number of mines in it.  Write a function signature for a function which receives the above parameters and returns the level of difficulty of the game.,"דרגת קושי המשחק תלויה בממדי הלוח ובמספר המוקשים בו. כתוב חתימה לפונקציה שמקבלת את הפרמטרים הנ""ל ומחזירה את דרגת הקושי של המשחק.","כאשר משתמש רוצה לנצל פינוק, המערכת מפעילה פונקציה שפועלת כך:  מקבלת:    כמה פינוקים אותו הלקוח זכאי החודש    כמה פינוקים אותו הלקוח ניצל החודש  הפונקציה מחשבת את ההפרש. אם היתרה חיובית הפונקציה מחזירה TRUE.  כתבו חתימה לפונקציה הזו.","When a customer wants to use a benefit, the system executes a function which works as follows:  Input:     Number of benefits the customer is entitled to during the current month     Number of benefits the customer has used during the current month  The function calculates the difference, and returns TRUE if the balance is positive.  Write a function signature for this function.",כדי לשחק צריך להציג את הלוח למשתמש. הצע חתימה לפונקציה שעושה זאת (שם פונקציה + פרמטרים).,Playing requires displaying the board to the user. Propose a function signature for this purpose (function name + parameters),Playing requires displaying the grid to the user. Propose a function signature for this purpose (function name + parameters)
size,,,,,,,,,,,,,,,,cheese_loc,former_locations,maze,,,time,mines_sqaure,,,,MAX_BENEFITS_NUM,BENEFIT_THRESHOLD,client_benefits,,,FUll_SCHEDULE,ADD_PAYOUT,,,grid,"is_enough_space(file, size, space)",,"max_sandwiches(biscuits, icecream, paper length, paper width)",,,"difficulty(size, mines_num)",,"bool is_bal_positive(entitled, used)",,,show_grid(grid)
fileSize,,,,,,,,,,,,,getTodayCheeseLoation(),visitedRooms,labData,,,,currentGameTimePassed,squaresData,,,MAX_PINUK_IN_MONTH,SHEKELS_PER_PINUK,numberOfDeservedPinuks,,,,,,FULL_TIME_JOB_HOURS,EXTRA_HOUR_PAY_ADDITION,,gameState,,"boolean isPosibleToEnlargeFile(file, extraSize, freeDiskSpace);",,,"int culcNumberOfCaset(float bicuitAmout , float vanilIceCreemAmount, float paperAmount);","int getGameDifficulty(int gridSize, int numberOfMines);",,"boolean isBalancePositive(int deservedPinuks, int pinuksUsed);",,,void displayBoard(gameState);,
,size,,,,,,,,,,,,cheese_loc,visited,graph,,,,,,timer,mine_grid,,,,MAX_BENEFITS,ILS_PER_BENEFIT,num_potential_benefits,MIN_WEEKLY_HOURS,OVERTIME_WAGE,,,,board,,,"bool enough_space_left(FILE* fp, uint space_left, uint new_size)",,"uint casata_potential(uint biscuits, double ice_cream_cups, double w_alum, double h_alum)",,"double level(int w, int h, int num_mines)",,"bool (int num_potential_benefits, int num_used_benefits)",,void draw(),
,,,,,,dest_floor,src_floor,floor_diff,is_open,,,,Current_cheese_location,visited,maze,,,,elapsed_time,board,,,MAX_MONTHLY_TREATS,TREAT_PRICE,current_mont_treats,,,,STANDARD_PAY_HOURS,overtime_rate,,,,board,,,,"Int number_of_sandwiches(int biscuits, double icecream, int wrappers)",,"Int difficulty(int grid_x, int grid_y, int mines);",,"bool check_treats(int credit, int used)",,,void board::display() const;,
size,,,,,,input_floor,curr_floor,floor_diff,curr_state,,,,curr_pos,Position,Labyrinth,,,,time_elasped,,,,MAX_TREATS,NIS_PER_TREAT,customer_treats,,,,FULL_TIME_WEEKLY_HOURES,OVERTIME_WEDGE,,,CurrState,,,CheckFileSize,,,"calc_num_kasata(num_bisquites, num_...","CalcDifficulty(num_mines, grid_size)",,,,ShowBoard(),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOURS_FULL_JOB,EXTRA_HOURS_RATE_ADDITION,Board_status,,,,,,,,,,,Void show_board(),,
,size,destination,location,distance,is_open,,,,,,,,cheese_location,visited,labyrinth,,,,,,,,MAX_PERKS,PERK_COST,allowed_perks,,,,REGULAR_HOURS,overtime_pay,,,,board,,,"can_increase(File file, int increase, int space_availablebool )","int max_sandwiches(int biscuits, double vanilla, Paper paper)",,,,"is_elligible_for_perk(int remaining_perks, int used_perks)",,,display(Board board),
size,,targetFloor,currentFloor,floorsToMove,elevatorDoorState,,,,,,,,,,,currentCheeseLocation,visitLocationHistory,Maze,gameTimeCounter,GridMineMap,,,,,,MAX_BENEFITS_PER_MONTH,ILS_PER_BENEFIT,currentBenefitsEntitlement,,,OVERTIME_HOURS_THRESHOLD,overtimePayHourlyRate,,,,"bool canEnlargeFile(File file, int sizeToAppend, int diskFreeSize);",,,"int calculateICSQuantityFromIngredients(int chocolateBiscuitQuantity, float vanillaCups, int paperWidth, int paperHeight, int paperQuantity);","int calculateDifficulty(int gridWidth, int gridHeight, int mineCount);",,,"bool canUseBenefit(int currentBenefitsEntitlement, int currentBenefitsUsed);",,,
size,,toFloor,fromFloor,numOfFloorsToGo,isDoorClosed,,,,,,,,,,,lastRoomCheeseLocated,cheeseLocationHistory,maze,,,,,,,,MAX_BENEFITS,BILLED_FOR_BENEFIT,benefitsGained,,,FULL_TIME_HOURS,OVER_TIME_PAYMENT,,board,,isSpaceAvailable(file),,"int totalAmountProductable(biscuits, iceCreams, papers)",,,,,bool hasBenefits(),,displayBoard(),
