StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q30,Q31,Q32,Q33,Q156,Q155,Q37,Q36,Q35,Q40,Q41,Q42,Q52,Q44,Q45,Q49,Q50,Q51,Q53,Q54,Q55,Q57,Q58,Q59,Q61,Q62,Q63,Q79,Q80,Q81a,Q81b,Q82,Q83,Q160,Q84,Q93,Q94a,Q95a,Q159,Q96a,Q92,Q94b,Q95b,Q96b,Q97,Q99,Q100,Q101,Q102,Q103,Q105,Q106,Q107,Q108,Q109,Q111,Q112,Q113,Q114,Q115,Q117,Q118,Q119,Q157,Q158,Q122,Q123,Q124,Q125,Q127,Q126,Q129,Q130,Q131,Q132,Q134,Q135,Q136,Q137,Q138,Q139,Q141,Q142,Q143,Q144,Q147,Q146,Q145,Q148,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,פרטים דמוגרפיים,פרטים דמוגרפיים - גיל,פרטים דמוגרפיים - שנות ניסיון בתכנות   (כולל צבא אם רלוונטי),האם הינך סטודנט בתחום הקשור לתוכנה/מחשב?,לאיזה תואר אתה לומד?,מהי שנת הלימוד שלך לתואר - בחר,האם את מכיר את המשחק?,"דרגת קושי המשחק תלויה בממדי הלוח ובמספר המוקשים בו. כתוב חתימה לפונקציה שמקבלת את הפרמטרים הנ""ל ומחזירה את דרגת הקושי של המשחק.",איך תקרא למשתנה שמחזיק את זמן המשחק?,"נחזיק מבנה נתונים שמתאים לכל משבצת בלוח מספר באופן הבא:​ ​• 1- אם המשבצת מכילה מוקש. • מספר המוקשים במשבצות הצמודות אליה, אחרת.  איזה שם תיתן בקוד שלך למבנה נתונים זה?","מה לדעתך עושה הממשק הבא:  (expose(row, col",Are you familiar with this game?,The game’s level of difficulty depends on the grid size and the number of mines in it.  Write a function signature for a function which receives the above parameters and returns the level of difficulty of the game.,How would you call the variable which holds the game time?,We will have a data structure which assigns a number to each square in the board as follows:  • -1 if the square contains a mine  • The number of mines in the adjacent squares otherwise  How will you name this data structure?,"What do you think is the function of the following interface:  expose(row, col)",מה לדעתך עושה הממשק?,מה תפקידו של פרמטר hours?,מה תפקידו של פרמטר rate?,ממשו את הממשק.,תנו שם לקבוע 45:,תנו שם למשתנה עבור ערך השכר לשעה בשעות הנוספות:,What do you think the interface does?,What is the purpose of hours parameter?,What is the purpose of rate parameter?,Implement the interface.,Name the constant containing the value 45:,Name the variable for the hourly wage during overtime pay:,איך תקרא למשתנה שמציין היכן הגבינה היום?,איך תקרא למשתנה (או למבנה הנתונים) שעוקב אחרי איפה הוא כבר היה?,איך תקרא למבנה הנתונים שמתאר את המבוך?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the maze?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the labyrinth?,How would you name the variable (or data structure) describing the current state of the game board?,"The implementation includes a function make_turn(int row, int col) What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?",Playing requires displaying the board to the user. Propose a function signature for this purpose (function name + parameters),How would you name the variable (or data structure) describing the current state of the game grid?,"The implementation includes a function make_turn(int row, int col) What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?",Playing requires displaying the grid to the user. Propose a function signature for this purpose (function name + parameters),מה יהיה שם המשתנה (או מבנה הנתונים) שמתאר/מחזיק את מצב לוח המשחק כרגע?,"במימוש יש פונקציה  make_turn(int row, int col)  למה לדעתך היא משמשת?",מה תפקיד של הפרמטר row?,מה תפקיד של הפרמטר col?,כדי לשחק צריך להציג את הלוח למשתמש. הצע חתימה לפונקציה שעושה זאת (שם פונקציה + פרמטרים).,The implementation contains a class which describes a file within the system. How would you name the field describing the file’s size?,"The implementation contains a function arrangeFilesByName(files)  In your opinion, what does it do?",What is the role of the parameter? what is its type?,What do you think it returns?,"The implementation includes a function that receives a file, by how much we want to increase it, and the available space on the disk, and checks whether there is enough space. Suggest a signature for this function.",במימוש יש מחלקה המתארת קובץ במערכת. מה לדעתך יהיה שם השדה המתאר את גודל הקובץ?,במימוש יש פונקציה arrangeFilesByName(files) למה לדעתך היא משמשת?,מה תפקיד הפרמטר? מה טיפוסו?,מה לדעתך היא מחזירה?,"במימוש יש פונקציה שמקבלת קובץ, בכמה רוצים להגדיל אותו, ואת השטח הפנוי בדיסק, ובודקת האם יש מספיק מקום. הצע חתימה לפונקציה הזו.","כתבו חתימה לממשק שיעזור לאורי לחשב, בהינתן כמויות המצרכים הבסיסים שבידיו, כמה קסטות יוכל להכין.","נתון הממשק:  (profit(units, cost, price. מה לדעתכם עושה הממשק?",מה מציין פרמטר units?,מה מציין פרמטר cost?,מה מציין פרמטר price?,"Write an API function signature to help Ori calculate, given the quantities of ingredients he has, how many sandwiches he can produce.","What do you think  profit (units, cost, price)  function does?","What is the purpose of the ""units"" parameter?","What is the purpose of the ""cost"" parameter?","What is the purpose of the ""price"" parameter?",What does this code do?,Replace var1 with a name you would have used.,Replace var2 with a name you would have used.,Replace var3 with a name you would have used.,How would you call the variable describing the state of the elevator’s door (open/closed)?,Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor. Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor.,מה עושה קטע קוד זה?,החלף var1 בשם בו אתה היית משתמש.,החלף var2 בשם בו אתה היית משתמש.,החלף var3 בשם בו אתה היית משתמש.,איך הייתם קוראים למשתנה שמתאר את מצב הדלת (פתוחה/סגורה)?,סתיו רוצה לבדוק אם תיקנה כמו שצריך את הקוד. היא נכנסת למעלית בקומה 0 התחתונה ולוחצת על כל הכפתורים יחדיו. הציפיה היא שהמעלית תעלה ותיפתח קומה קומה.  כתבו פסאודו קוד של לולאה שעוברת על כל הקומות בסדר עולה החל מקומה 0 ופותחת את הדלת בכל קומה.,Name the constant holding the value 4 according to its purpose.,Name the constant holding the value 2000 according to its purpose.,Name the variable holding the number of benefits the client is entitled to during the current month.,"When a customer wants to use a benefit, the system executes a function which works as follows:  Input:     Number of benefits the customer is entitled to during the current month     Number of benefits the customer has used during the current month  The function calculates the difference, and returns TRUE if the balance is positive.  Write a function signature for this function.",תנו שם לקבוע שמחזיק את המספר 4 בהתאם לתפקידו.,תנו שם לקבוע שמחזיק את המספר 2000 בהתאם לתפקידו.,תנו שם משתנה למספר הפינוקים להם זכאי הלקוח בחודש הנוכחי.,"כאשר משתמש רוצה לנצל פינוק, המערכת מפעילה פונקציה שפועלת כך:  מקבלת:    כמה פינוקים אותו הלקוח זכאי החודש    כמה פינוקים אותו הלקוח ניצל החודש  הפונקציה מחשבת את ההפרש. אם היתרה חיובית הפונקציה מחזירה TRUE.  כתבו חתימה לפונקציה הזו.",מה לדעתך טיפוסו של הערך המוחזר?,מה הערכים האפשריים לערך המוחזר?,מה תפקידם של הפרמטרים?,מה הטיפוסים והערכים האפשריים שלהם?,"בספריה ישנה פונקציה (add(a, b .  מה לדעתך תחזיר  ([add([1,2,3], [4,5,6?",מה לדעתך הפונקציה עושה?,"לאובייקט תמונה יש שדה המציין את רוחב התמונה, width.כתוב את שורת הקוד המעדכנת את שדה זה בפונקציה הנ""ל.",Q118 - Topics,Q31_2 - Topics
"{""ImportId"":""startDate"",""timeZone"":""Europe/Moscow""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Moscow""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Moscow""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID17""}","{""ImportId"":""QID33""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID161_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID166_TEXT""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID120_TEXT""}","{""ImportId"":""QID121_TEXT""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID124_TEXT""}","{""ImportId"":""QID125_TEXT""}","{""ImportId"":""QID163_TEXT""}","{""ImportId"":""QID164_TEXT""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID138_TEXT""}","{""ImportId"":""QID140_TEXT""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID142_TEXT""}","{""ImportId"":""QID143_TEXT""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID145_TEXT""}","{""ImportId"":""QID147_TEXT""}","{""ImportId"":""QID148_TEXT""}","{""ImportId"":""QID149_TEXT""}","{""ImportId"":""QID150_TEXT""}","{""ImportId"":""QID153_TEXT""}","{""ImportId"":""QID152_TEXT""}","{""ImportId"":""QID151_TEXT""}","{""ImportId"":""QID154_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID159_TEXT""}","{""ImportId"":""QID158_TEXT""}","{""ImportId"":""QID124_TEXT_a247429d501a4f90a19c238aTopics""}","{""ImportId"":""QID31_2_a247429d501a4f90a19c238aTopics""}"
2018-05-14 13:20:42,2018-05-14 13:46:54,IP Address,,100,1571,True,2018-05-14 13:46:54,R_265CNmwQMfIvuRG,,,,,,,anonymous,HE,זכר,24,,כן,תואר ראשון,2,כן,"difficulty(size, mines_num)",time,mines_sqaure,מראה מה יש במשבצת(לא אומר שהמשתמש לחץ עליו ספציפית!),,,,,,מכניס לחשבון הבנק את השכר לפי חישוב שעות כפול ערך שכר,מספר שעות העבודה של העובד באותו חודש,השכר לשעה של אותו חודש,salary = rate*hours insert_to_bank_account(salary),FUll_SCHEDULE,ADD_PAYOUT,,,,,,,cheese_loc,former_locations,maze,,,,,,,,,,,,grid,בוחר עבור השחקן הנוכחי את המשבצת בקואורדינטות שנבחרו,בחירת השורה לסמן,בחירת העמודה לסמן,show_grid(grid),,,,,,,,,,,size,ממיינת את רשימת הקבצים לפי סדר מילוני,'files' is a list(of 'file' objects),כלום(VOID)-היא משנה את הרשימה המקורית,"is_enough_space(file, size, space)",,,,,,"max_sandwiches(biscuits, icecream, paper length, paper width)",return units*(price-cost),מספר המוצרים שנמכרו,עלות הייצור/קניה של המוצר עבור המוכר,המחיר שבו מוכרים את המוצר,,,,,,,,,,,,,MAX_BENEFITS_NUM,BENEFIT_THRESHOLD,client_benefits,"bool is_bal_positive(entitled, used)",,,,,string,"playerA, playerB",לציין את שמות השחקנים שביניהם בוחרים מנצח,כל מחרוזת תקנית בשפה שבחרנו לממש בה,"[5,7,9] הכי סביר","מגדילה-""מותחת"" את התמונה לפי היחס(בכל קואורדינטה! כלומר סה""כ השטח גדול פי פקטור בריבוע)",image.width = image.width * factor,Unknown,
2018-05-14 14:59:27,2018-05-14 16:24:25,IP Address,,100,5098,True,2018-05-14 16:24:27,R_2tnhCxpdRwi0FMr,,,,,,,anonymous,HE,זכר,22,3,כן,תואר שני,1,,,,,,Yes,"int getGameDifficulty(int gridSize, int numberOfMines);",currentGameTimePassed,squaresData,"לחשוף את המשבצת ב col ו row המתאימים. אם זה מוקש לסיים את במשחק, ואם לא אז לחשוף למשתמש את הערך של המשבצת.",משלם לעובד לפי השכר שלו וכמות השעות שהוא עבד,כמות השעות שהעובד עבד,השכר של העובד לשעה,"void pay(hours, rate) {     giveMoney(hours*rate); }",FULL_TIME_JOB_HOURS,EXTRA_HOUR_PAY_ADDITION,,,,,,,,,,,,,getTodayCheeseLoation(),visitedRooms,labData,gameState,שם את הערך של השחקן (איקס או עיגול) למשבצת המתאימה לפי ה col וה- row,מספר השורה של המשבצת,מספר העמודה של המשבצת,void displayBoard(gameState);,,,,,,,,,,,,,,,,fileSize,ממיינת את הקבצים לפי שם הקבצים.,הפרמטר מציין את הקבצים למיון. הטיפוס שלו זה מערך של של אובייקטים מהמחלקה שמייצגת קובץ,מערך ממוין לפי שם קובץ של אובייקטים של המחלקה שמייצגת קובץ.,"boolean isPosibleToEnlargeFile(file, extraSize, freeDiskSpace);","int culcNumberOfCaset(float bicuitAmout , float vanilIceCreemAmount, float paperAmount);","מחזיר כמה רווח יעשה כשמוכרים קסטות בהינתן כמות הקסטות, עלות הכנה של כל קסטה, ומחיר כל קסטה.",כמה קסטות מוכרים.,עלות הכנה של כל קסטה,כמה עולה כל קסטה,,,,,,,,,,,,,,,,,,,,,,MAX_PINUK_IN_MONTH,SHEKELS_PER_PINUK,numberOfDeservedPinuks,"boolean isBalancePositive(int deservedPinuks, int pinuksUsed);",int,"0,1,2",לסמן איזה מהלך שיחק כל שחקן,"int 0,1,2 (ערך לכל מהלך אפשרי: רבן, נייר, מספריים)","[5,7,9]",מגדילה את התמונה פי פקטור מסויים,width *= factor;,,
2018-05-21 12:53:10,2018-05-21 13:13:53,IP Address,,100,1243,True,2018-05-21 13:13:54,R_8xlWlQcKx2MYWqd,,,,,,,anonymous,HE,זכר,27,7,כן,תואר שני,2,כן,"double level(int w, int h, int num_mines)",timer,mine_grid,לוחצת על הקוביה,,,,,,,,,,,,calculates the total payment to an employee,how many hours the employee worked,rate* parameter. the hourly rate,return hours*rate;,MIN_WEEKLY_HOURS,OVERTIME_WAGE,,,,,,,cheese_loc,visited,graph,board,sets X or O (whichever's applicable) at the appropriate location,determine the row in the board to place a piece,determine the column in the board to place a piece,void draw(),,,,,,,,,,,size,returns a sorted lists of the files' names,array of strings of file names,array,"bool enough_space_left(FILE* fp, uint space_left, uint new_size)",,,,,,"uint casata_potential(uint biscuits, double ice_cream_cups, double w_alum, double h_alum)",מחשב כמה ניתן להרוויח ממכירת קסטות שעלות הכנתן היא cost במחיר price,כמה קסטות מוכרים,כמה עלתה הכנת כל קסטה,מחיר שדורשים עבור קסטה,,,,,,,,,,,,,,,,,,MAX_BENEFITS,ILS_PER_BENEFIT,num_potential_benefits,"bool (int num_potential_benefits, int num_used_benefits)",,,,,int,"0,1","הבחירה של כל שחקן מבין אבן, נייר ומספריים","int, 0,1,2","[1,2,3,4,5,6]",משנה את הגודל של התמונה בפקטור מסוים בכל מימד,width *= factor,,
2018-05-21 12:49:32,2018-05-21 13:19:22,IP Address,,100,1790,True,2018-05-21 13:19:23,R_1LHjKKgjq4RVVGL,,,,,,,anonymous,HE,זכר,28,12,כן,דוקטורט ומעלה,1,,,,,,Yes,"Int difficulty(int grid_x, int grid_y, int mines);",elapsed_time,board,Exposes a given square (makes a move in the game),,,,,,,Pays the worker his/her wage (hours*rate). ,Defines the number of hours worked this month. ,"There is no parameter named ""pay"". ","void worker::pay(double hours, double rate){ this.wage += hours*wage }",STANDARD_PAY_HOURS,overtime_rate,,,,,,,Current_cheese_location,visited,maze,board ,Performs a move on the board (changing it). ,It defines the row of the selected move. ,Defines the column of the selected move.  ,void board::display(void) const;,,,,,,,,,,,,,,,,,,,,,,,,,,"Int number_of_sandwiches(int biscuits, double icecream, int wrappers)",Calculates the profit (price of ingredients- income) from the given number of sandwiches.,It tells us hiw many sandwiches we have. ,How much it costs to produce a sandwich. ,How much we sell and icecream sandwich for. ,Moves the elevator up and down. ,dest_floor,src_floor ,floor_diff,is_open,For floor in floors: Go_up(1) Open() Close(),,,,,,,,,,,MAX_MONTHLY_TREATS,TREAT_PRICE,current_mont_treats,"bool check_treats(int credit, int used)","I would probably use an int, but it depends on the rest of the implementation. ",0 or 1,I'm not sure - I wouldn't have written it this way. ,Probably some objects.,"I hope it returns an error.... but otherwise [5,7,9]","Resizes an image by the given factor, meaning returns a picture with more or fewer puxels. ",picture.width = new_width;,Unknown,
2018-05-21 13:03:34,2018-05-21 13:33:25,IP Address,,100,1790,True,2018-05-21 13:33:26,R_2TvIkIjAHPQF8GM,,,,,,,anonymous,HE,זכר,29,7,כן,תואר שני,1,,,,,,Yes,"CalcDifficulty(num_mines, grid_size) ",time_elasped,,פתיחת תא,,,,,,,Registers payment for that employee. ,The number of hours ,The rate ,"def pay(hours, rate) : Db. Register(hour * rate) ",FULL_TIME_WEEKLY_HOURES,OVERTIME_WEDGE,,,,,,,curr_pos,Position,Labyrinth ,,,,,,,,,,,CurrState,שינוי הלוח לאחר תור ,השורה שבה היה השינוי ,הטור בו היה השינוי ,ShowBoard() ,,,,,,size,"סידור הקבצים בסדר לקסיקוגרפי מa עד z, לפי שם. ",זה תלוי בשפה בעיני: בשפת C הייתי אומר שזהו פרמטר פלט - המערך שבו יהיו הפוינטרים המוחזרים. בשפות אחרות הייתי אומר שזוהי רשימת קבצים למיון. ,"שוב, תלוי בשפה. בשפת C הייתי אומר שהפרמטר יהיה הצלחה או כישלון. בשפות אחרות זה יכול להיות הרשימה הממוינת",CheckFileSize,"calc_num_kasata(num_bisquites, num_... ","מחשב את הרווח בהינתן מספר היחידות, העלויות והמחיר ",מספר יחידות ,עלויות ,מחיר ,,,,,,Controls the elevator given user request ,input_floor,curr_floor,floor_diff,curr_state,,,,,,,,,,,,MAX_TREATS,NIS_PER_TREAT,customer_treats,,enum Player,"A, B",הבחירה של כל אחד מהשחקנים ,"enum Move CEASARS, STONE, PAPER ",,"משנה תמונה ע""י פקטור כפלי לממדים (לא לשטח) ",Width *= factor,,
2018-05-21 12:49:56,2018-05-21 13:34:16,IP Address,,100,2660,True,2018-05-21 13:34:17,R_1i3yOjvwQBLg55k,,,,,,,anonymous,HE,זכר,31,16,כן,תואר שני,3,,,,,,,,,,,מחשב משכורת לפי שעות העבודה וערך השכר. (ממשק קצת מעפן.. :) ),כמות השעות של העובד,ערך השכר השעתי,Return rate*hours  (בהנחה שאלו הפרמטרים היחידים למשכורת),HOURS_FULL_JOB,EXTRA_HOURS_RATE_ADDITION,,,,,,,,,,,,,,,,,,,,,,,,,,Board_status,לסמן איקס או עיגול על הלוח,קוארדינטת שורה רצה בין 0 ל 2 או בין 1 ל 3. אם המתכנת פיזיקאי :),אינדקס עמודה,Void show_board(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,7,9",משנה את גודל התמונה בפקטור,width=factor*width,,
2018-05-21 13:05:29,2018-05-21 13:38:10,IP Address,,100,1961,True,2018-05-21 13:38:11,R_3qQ0cpW9WNIh6I4,,,,,,,anonymous,HE,זכר,34,3,כן,תואר שני,2,,,,,,,,,,,,,,,,,Returns the overall salary,How many hours the employee worked,The hourly wage,Return hours * pay,REGULAR_HOURS,overtime_pay,,,,,,,cheese_location,visited,labyrinth,board,Place a mark on a single place on the board,To know in which row to place the mark,To know in which column to place the mark,display(Board board),,,,,,,,,,,size,"returns an ordered list of the files, ordered lexicography by name","The parameter is the list of files, and it's type is List",A list of ordered files,"can_increase(File file, int increase, int space_availablebool )",,,,,,,,,,,"int max_sandwiches(int biscuits, double vanilla, Paper paper)",(price-cost)*units,To measure how many sandwiches are sold,The price of ingredients per sandwich,The selling price of one sandwich,,,,,,,Checks whether the destination is higher or lower than the current floor and executes a move there r,destination,location,distance,is_open,,,,,,MAX_PERKS,PERK_COST,allowed_perks,"is_elligible_for_perk(int remaining_perks, int used_perks)",Int,"1, -1",To represent each player's move,"Int: 1,2,3","[5,7,9]",Resize an image by the given factor,width = width * factor,Unknown,
2018-05-21 13:21:29,2018-05-21 14:01:17,IP Address,,100,2387,True,2018-05-21 14:01:18,R_1DSSJJda7NPvM3e,,,,,,,anonymous,HE,זכר,28,15,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,Yes,"int calculateDifficulty(int gridWidth, int gridHeight, int mineCount);",gameTimeCounter,GridMineMap,"Expose a tile when the use clicks on it, causing it to either explode, expose mine count or reveal nearby tiles.",משלם לעובד (העברה לחשבון בנק וכו') לפי כמות השעות שעבד ושכר העובד.,לציין כמה שעות עבד העובד באותו החודש,לציין את השכר השעתי של עובד,"void pay(float hours, float rate) {   transferFunds(employee.account, hours * rate); }",OVERTIME_HOURS_THRESHOLD,overtimePayHourlyRate,,,,,,,currentCheeseLocation,visitLocationHistory,Maze,,,,,,,,,,,,,,,,,,,,,,,,,,,size,למיון קבצים לפי שם בסדר אלפבתי.,מערך של קבצים שיש למיין. טיפוס מערך מסוג File.,הפונקציה לא מחזירה אלא ממיינת את המערך במקום (in-place).,"bool canEnlargeFile(File file, int sizeToAppend, int diskFreeSize);","int calculateICSQuantityFromIngredients(int chocolateBiscuitQuantity, float vanillaCups, int paperWidth, int paperHeight, int paperQuantity);",מחשב את הרווח המתקבל ממכירת units קסטות במחיר price ובעלות cost לקניית המצרכים.,מס' קסטות,עלות המצרכים לייצור קסטה אחת,מחיר קסטה אחת,,,,,,,,,,,,"מניע את המעלית לקומת היעד (למעלה או למטה, בהתאם לקומה הנוכחית וקומת היעד).",targetFloor,currentFloor,floorsToMove,elevatorDoorState,for (int floor = 0; floor &lt; FLOOR_COUNT; floor++) {   goToFloor(floor); //goToFloor closes and opens the door as needed },MAX_BENEFITS_PER_MONTH,ILS_PER_BENEFIT,currentBenefitsEntitlement,"bool canUseBenefit(int currentBenefitsEntitlement, int currentBenefitsUsed);",,,,,מספר,"0 (תיקו), 1 (A), 2 (B)","לציין את הבחירה של כל משתמש (אבן, נייר או מספריים)","מספרים - 0, 1, 2 (אבן, נייר ומספריים)","[5, 7, 9]",מגדילה או מקטינה תמונה לפי פקטור נתון (פקטור חיובי=הגדלה),image.width *= factor;,,
