Q183_1,Q156,Q49,Q50,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q100,Q101,Q102,Q118,Q119,Q157,Q158,Q122,Q126
Years of experience,Are you familiar with this game?,What do you think the interface does?,What is the purpose of hours parameter?,Implement the interface.,"The implementation includes a function make_turn(int row, int col) What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation includes a function make_turn(int row, int col) What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation contains a function arrangeFilesByName(files)  In your opinion, what does it do?",What is the role of the parameter?  What is its type?,What do you think it returns?,"What do you think  profit (units, cost, price)  function does?","What is the purpose of the ""units"" parameter?","What is the purpose of the ""cost"" parameter?","What is the purpose of the ""price"" parameter?",What does this code do?,Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor. Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor.
9,,Returns amount to pay given hours and rate,Number of work hours in a payment period by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
9,,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort.  List of files,Sorted list of files,,,,,,
9,,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,
9,,,,,,,,,,,, ,,,,,,,
9,,Transfers salary,Number of work hours by an employee,hours*rate,,,,,,,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
8,,,,,,,,,,,, ,,,,,,,
8,Yes,,,,,,,,,,, ,,,,,,,
8,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
8,,,,,,,,,,,, ,,,,,,,
8,,,,,,,,,,,, ,,,,,,,
7,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name", List of file names,Array,,,,,,
7,Yes,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,,,,,Operates an elevator,
7,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,,,,,,
7,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
7,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,Sorted list of files,,,,,,
7,Yes,,,,,,,,,,, ,,,,,,,
7,,,,,,,,,,,, ,,,,,,,
7,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,Determines the direction of the elevator then travels to the requested floor,"i, top_floor"
7,,,,,,,,,,,, ,,,,,,,
7,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,void or success/failure,,,,,,
7,,,,,,,,,,,, ,,,,,,,
7,Yes,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
7,,,,,,,,,,,, ,,Calculates profit of selling the sandwiches,,Cost per unit,Price per unit,Determines the direction of the elevator,
6,Yes,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,
6,,,,,,,,,,,, ,,,,,,,
