Q54,Q55,Q61,Q62,Q63,Q79,Q80,Q81a,Q81b,Q93,Q99,Q123,Q124,Q125,Q127,Q136,Q137,Q138,Q84,Q96a,Q103,Q117,Q139
Name the constant containing the value 45:,Name the variable for the hourly wage during overtime pay:,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the maze?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the labyrinth?,How would you name the variable (or data structure) describing the current state of the game board?,How would you name the variable (or data structure) describing the current state of the game grid?,The implementation contains a class which describes a file within the system. How would you name the field describing the file’s size?,Replace var1 with a name you would have used.,Replace var2 with a name you would have used.,Replace var3 with a name you would have used.,How would you call the variable describing the state of the elevator’s door (open/closed)?,Name the constant holding the value 4 according to its purpose.,Name the constant holding the value 2000 according to its purpose.,Name the variable holding the number of benefits the client is entitled to during the current month.,Playing requires displaying the board to the user. Propose a function signature for this purpose (function name + parameters),Playing requires displaying the grid to the user. Propose a function signature for this purpose (function name + parameters),"The implementation includes a function that receives a file, by how much we want to increase it, and the available space on the disk, and checks whether there is enough space. Suggest a signature for this function.","Write an API function signature to help Ori calculate, given the quantities of ingredients he has, how many sandwiches he can produce.","When a customer wants to use a benefit, the system executes a function which works as follows:  Input:     Number of benefits the customer is entitled to during the current month     Number of benefits the customer has used during the current month  The function calculates the difference, and returns TRUE if the balance is positive.  Write a function signature for this function."
,,,,,,,,,grid,,,,,,MAX_BENEFITS_NUM,BENEFIT_THRESHOLD,client_benefits,,show_grid(grid),,"max_sandwiches(biscuits, icecream, paper length, paper width)","bool is_bal_positive(entitled, used)"
FULL_TIME_WEEKLY_HOURS,overtime_rate,,,,,,,currentBoardState,,,,,,,MAX_BENEFITS_PER_MONTH,ILS_PER_BENEFIT,current_month_benefits_count,displayBoard(Board board),,,,has_available_benefits
,,,,,,,,,,,,,,,MAX_MONTHLY_BENEFITS,BENEFIT_AMOUNT_ILS,currentMonthBenefits,,,,,HasSufficientBenefits
,,,,,,,,,,size,,,,,,,,,,"expand_file(int add_size, int size_left)",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"nt wrapWidth, int wrapLength)int numSandwitchesPossible(int biacuits,int iceCream,i",
,,cheeseLocation,locationsVisited,maze,,,,,,,,,,,,,,,,,,
FULLTIME_POSITION,overtimeWage,,,,,,,,,,,,,,MAX_MONTH_BENEFITS,MINIMAL_BENEFIT_EXPENSE,benefits,,,,"int howManyPossiblesandwiches(biscuits, icecream, wrappingPaper)","hasMoreBenefits(benefits, used)"
,,,,,cheeseLocation,visitedRooms,maze,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,currentGameState,,,,,,,,,,show_grid(currentGameState),,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MIN_WEEKLY_HOURS,OVERTIME_WAGE,,,,cheese_loc,visited,graph,board,,size,,,,,MAX_BENEFITS,ILS_PER_BENEFIT,num_potential_benefits,void draw(),,"bool enough_space_left(FILE* fp, uint space_left, uint new_size)",,"bool (int num_potential_benefits, int num_used_benefits)"
FULL_TIME_WEEKLY_HOURES,OVERTIME_WEDGE,,,,curr_pos,Position,Labyrinth,,,,input_floor,curr_floor,floor_diff,curr_state,,,,,,,,
NORMAL_WEEK_HOURS,bonusMoneyPerHour,,,,cheeseLocation or prizeLocation or cheesePos or prizePos or targetPos or tgtPos or goalPos,"visitedLocation or visitedLoc, or visitedPos, or usedCells",labyrinth or maze or map or gameMap or level,,,,,,,,,,,,,,,
,,,,,,,,current_state,,,,,,,,,,display_board(boolean[][] board),,,,
,,,,,,,,,,size_in_bytes,,,,,BENEFIT_MAX_NUM,ILS_TO_BENEFIT,number_of_benefits_to_grant,,,"bool is_enough_space_to_increase_file_size(file, size_to_increase, space_available_on_disk)",,"bool does_user_has_more_benefits(number_of_benefits_to_grant, number_of_benefits_used)"
,,currentLocation,roomsVisited,maze,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
REQUIRED_HOURS,overtime_rate,,,,,,,,,,input_floor,current_floor,floors_diff,is_closed,,,,,,,"calculate_how_many_sandwiches(biscuits, ice_cream_cups, papers)",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,cheese_loc,checked_locs,labyrinth,,,file_size,,,,,,,,,,can_file_size_be_increased,,
,,targetLocation,visited,maze,,,,,,,,,,,BENEFITS_ACCUMULATED_LIMIT,ILS_PER_BENEFIT,benefitsBalance,,,,,"boolean hasRemainingBenefits(int startingBalance, int amountUsed)"
OVERTIME_THRESH,overtimeRate,curCheeseLoc,visitiedLocs,Maze,,,,curBoardState,,,,,,,,,,dispBoard(curBoardState),,,,
,,,,,cheeseCoords,visited,labyrinth,,,,requestedFloor,currentFloor,diffFloors,doorState,,,,,,,"ingrediantsToCookies(int bis, int haldIceCreamCup, int wrapWidth, int wrapHeight)",
,,,,,,,,,,,requested_floor,current_floor,floors_to_move,is_door_open,,,,,,,,
,,,,,cheeseLocation,VisitedRooms,Labyrinth,,,,,,,,,,,,,,,
,,,,,,,,,,file_size,target_floor,current_floor,floors_to_climb,is_open,MAX_NUMBER_OF_BENEFITS,AMOUNT_NEEDED_FOR_BENEFIT,benefits_entitlement_current_month,,,"check_availability (File file_to_expand, int expansion_size, int free_space)","number_of_sandwiches (int number_of_biscuits, int cups_of_ice_cream, int wrapping_paper_in_square_meters)","has_benefits(int benefits_entitlement, int benefits_used)"
BASE_WEEKLY_HOURS,overtimeHourlyWage,dailyLocation,traversedLocations,totalLocations,,,,,,fileSize,desiredFloor,currentFloor,floorDiff,doorState,ACCUMULATION_MONTH_LIMIT,BENEFIT_RATE,curBalance,,,"public boolean checkSpace(MyFile file, int requiredSpace,int freeDiskSpace)",,"public boolean isEligible (benefitsBalance,usedBenefits)"
BASE_SALARY_HOURS,OVERTIME_RATE,current_place,VisitedRooms,Maze,,,,GameState,,,,,,,,,,show_board(),,,"calc_sandwich_num(biscuits, icecream_cups, wrap_paper)",
,,,,,,,,,GameBoard,,,,,,,,,,Display (),,,
,,,,,,,,,,,target_floor,current_floor,number_of_floors_to_climb,is_open,,,,,,,,
,,,,,,,,Status,,,,,,,,,,"Bool draw(const Board* b,const unsigned int N, const unsigned int M)",,,,
,,cheese_location,rooms_visited,maze,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,selectedFloor,currentFloor,floorsDelta,doorState,,,,,,,,
,,,,,Curr_cheese_loc,Visited,Lab_desc,,,,,,,,,,,,,,,
,,,,,Cheese_room_index,Visited_rooms,Maze_board,Current_game_board,,,Press_buttom_level1,Press_button_level2,Different_between,Elevator_state,,,,"Display_game_Board(Board game_Board, UserOutput useroutput",,,,
,,,,,,,,,,size,destinationFloor,currentFloor,floorDiff,isDoorOpened,MONTHLY_BENEFIT_LIMIT,BENEFIT_THRESHOLD,entitledBenefits,,,"private boolean canAdd(File file, int dataAmount, int freeDiskSpace)",,"boolean hasBenefits(entitledBenefits, usedBenefits)"
,,,,,cheeseLocation,visitedCoordinates,labyrinth,boardCurrState,,,,,,,MAX_MONTHLY_BENEFITS,ENTITLEMENTS_THRESHOLD,currentMonthEntitlement,List&lt;List&lt;string&gt;&gt; getBoard(),,,,"public boolean isEntitledToUse(int currentMonthEntitlement, int currentMonthUsage)"
,,,,,,,,,,fieldSizeBytes,,,,,,,,,,"boolean verifyFileEnhancement(File file, int bytesToEnhance, int diskFreeBytes)","int getNumSandwiches(int biscuits, double iceCreamCups, int wrapperWidth, int wrapperHeight)",
,,,,,cheese_location,visited_map - a 2D array,a 2D array,,,_fileSize,,,,,,,,,,"boolean CanIncreaseFile(File file, int delta_bytes, int free_disk_space_bytes)",,
,,,,,,,,,,,,,,,,,,,,,CalcQuantity,
,,,,,,,,Matrix,,,,,,,,,,Char[][] display_matrix(),,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MAX_ACC_BENEFITS,MAX_BENEFIT_VALUE,curr_month_benefits_amount,,,,,"boolean is_entitled(int curr_month_benefits, int used_benefits)"
,,,,,,,,,,,targetFloor,currentFloor,distance,doorState,,,,,,,,
,,,,,,,,,,__size,,,,,,,,,,"check_available_size(file, size)",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Target,Trail_history,Maze,,,,,,,,,,,,,,,,,"get_posibble_quant_of_biscuits(chock, vanila, wrap)",
,,,,,room curCheeseRoom,bool visited,room[] Rooms,,,size,,,,,,,,,,"attemptToIncrease(file, newSize, availableSpace)",,
,,cheese_loc,visited_locs,Maze,,,,,,,Floor_to,Floor_from,Floors_diff,Is_door_open,Max_benifits_amount,ILS_FOR_BENIFIT,Client_benifits_count,,,,,Bool is_eligible_for_benifit
DAYS_PAYMENT_THRESHOLD,extra_wage,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Dir1,Dir2,Direction,,,,,,,,,
