Maze
Names
English (Maze) [18]: How would you call the data structure describing the maze?
English (Labyrinth) [24]: How would you call the data structure describing the labyrinth?
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+---------------------+
|                                                                                                                                                                                | English (Maze) | English (Labyrinth) |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+---------------------+
| a_2d_array                                                                                                                                                                     | 0              | 1                   |
| available_locations                                                                                                                                                            | 0              | 1                   |
| game                                                                                                                                                                           | 0              | 4                   |
| game_board                                                                                                                                                                     | 0              | 1                   |
| graph                                                                                                                                                                          | 0              | 1                   |
| lab_desc                                                                                                                                                                       | 0              | 1                   |
| labyrinth                                                                                                                                                                      | 0              | 9                   |
| labyrinth_areas_graph                                                                                                                                                          | 0              | 1                   |
| labyrinth_data                                                                                                                                                                 | 0              | 1                   |
| labyrinth_graph                                                                                                                                                                | 0              | 1                   |
| labyrinth_or_game_or_game_or_game_game_or_level                                                                                                                                | 0              | 1                   |
| labyrinth_tree                                                                                                                                                                 | 0              | 1                   |
| matrix                                                                                                                                                                         | 1              | 0                   |
| maze                                                                                                                                                                           | 12             | 0                   |
| maze_descriptor                                                                                                                                                                | 1              | 0                   |
| maze_map                                                                                                                                                                       | 1              | 0                   |
| rooms_rooms                                                                                                                                                                    | 0              | 1                   |
| total_locations                                                                                                                                                                | 1              | 0                   |
| universe                                                                                                                                                                       | 1              | 0                   |
| את_maze_שמכיל_את_מיקום_הגבינה,_מיקום_העכבר_הנוכחי,_רשימת_מעברים_העכבר_ביקר_בהם_ועץ_החדרים(/מעברים)_מעברים_את_data_structure_קצת_יותר_מורכב_אם_את_מדובר_במבוך_את_מעברים_מלבניים | 1              | 0                   |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+---------------------+
