Tic-Tac-Toe
Names
English (Grid) [16]: How would you name the variable (or data structure) describing the current state of the game grid?
English (Board) [21]: How would you name the variable (or data structure) describing the current state of the game board?
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+
|                                                                                                                                                                                                                         | English (Grid) | English (Board) |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+
| board                                                                                                                                                                                                                   | 0              | 3               |
| board_curr_state                                                                                                                                                                                                        | 0              | 1               |
| board_state                                                                                                                                                                                                             | 1              | 3               |
| curr_board                                                                                                                                                                                                              | 0              | 1               |
| curr_board_state                                                                                                                                                                                                        | 0              | 1               |
| curr_state                                                                                                                                                                                                              | 0              | 1               |
| current_board_state                                                                                                                                                                                                     | 0              | 1               |
| current_board_status                                                                                                                                                                                                    | 1              | 0               |
| current_game_board                                                                                                                                                                                                      | 0              | 1               |
| current_game_state                                                                                                                                                                                                      | 1              | 0               |
| current_state                                                                                                                                                                                                           | 0              | 2               |
| game                                                                                                                                                                                                                    | 1              | 0               |
| game_board                                                                                                                                                                                                              | 2              | 1               |
| game_grid                                                                                                                                                                                                               | 1              | 0               |
| game_screen                                                                                                                                                                                                             | 1              | 0               |
| game_state                                                                                                                                                                                                              | 2              | 2               |
| grid                                                                                                                                                                                                                    | 3              | 0               |
| grid_state                                                                                                                                                                                                              | 1              | 0               |
| m_board                                                                                                                                                                                                                 | 0              | 1               |
| mat_state                                                                                                                                                                                                               | 0              | 1               |
| matrix                                                                                                                                                                                                                  | 0              | 1               |
| state                                                                                                                                                                                                                   | 1              | 0               |
| status                                                                                                                                                                                                                  | 0              | 1               |
| למה_החלק_למה_את_השאלון_באנגלית?_את_אוהב_כל_את_את_ההתייפיפות_סביב_ישראלים_בישראל_שמדברים_באנגלית?_במגזר_ההייטק_את_מסתדר_את_אידיאולוגית_לעניין_השאלה:_קלאסי_לממש_מטריצה_(מערך_את_מערכים)_שמכיל_enums_של:_ריק,_איקס,_עיגול | 1              | 0               |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+
