Q183_1,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q100,Q101,Q102,Q118,Q119,Q157,Q158,Q122,Q126
Years of programming/software experience - Years,What do you think the interface does?,What is the purpose of hours parameter?,What is the purpose of rate parameter?,"Complete the above interface pay(hours,rate).","The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation contains a function arrangeFilesByName(files)

In your opinion, what does it do?",What is the role of the parameter? what is its type?,What do you think it returns?,"What do you think

profit (units, cost, price)

function does?","What is the purpose of the ""units"" parameter?","What is the purpose of the ""cost"" parameter?","What is the purpose of the ""price"" parameter?",What does this code do?,"Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor.
Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor."
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,Sorts the files by alphabetic order.,"The ""files"" parameter are the files that would be sorted by the method. In a general implementation, ""files"" would be an array of the ""File"" class objects.",sorted list of files,Calculates the profit by selling the ice cream sandwiches,"""units"" could be used to determine the profit on the entire batch instead of a single item.",manufacturing price of the ice cream sandwich,Selling price of sandwich,,
1,Gives the total wage of an employee based on the hourly rate and number of hours worked,It provides imperative information to calculate pay.,It provides imperative information to calculate pay.,pay = hours × rate,"It checks and marks [row, col] as taken (by the appropriate player, and updates the next player) if it is free, or throws an exception.",It denotes the vertical level of the block to be marked.,It denotes the horizontal level of the block to be marked.,,,,,,,"Calculates profit based on how many units produced, the cost of making it and cost of selling it",It provides number of ice cream sandwiches to be sold.,manufacturing price of the ice cream sandwich,Selling price of sandwich,,
3,Gives the total wage of an employee based on the hourly rate and number of hours worked,It tells the no of hours an employee has worked,It tells the income of an employee for an hour.,pay = hours × rate,,,,,,,,,,"Calculates profit based on how many units produced, the cost of making it and cost of selling it",More the number of units more will be profit.,Represents cost of sandwich,Selling price,,
2,,,,,,,,It checks for the possible patterns of win by constantly checking for horizontal (rows) vertically (column) and diagonally (step pattern in both parameters),indicates which horizontal row the player has selected,column in grid,sort files by name,It is a list of files,a list of files,calculate profit from selling,The number of units produced,manufacturing price of the item,Denotes the selling price per unit.,,
3,Calculates payment,It tells the no of hours an employee has worked,It tells the income of an employee for an hour.,pay = hours × rate,"It checks and marks [row, col] as taken (by the appropriate player, and updates the next player) if it is free, or throws an exception.",denote row in board,denote column in board,,,,sort files by name,It is a list of files,arranged order of files,,,,,,
