StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q183_1,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q100,Q101,Q102,Q118,Q119,Q157,Q158,Q122,Q126
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Years of programming/software experience - Years,What do you think the interface does?,What is the purpose of hours parameter?,What is the purpose of rate parameter?,"Complete the above interface pay(hours,rate).","The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?","The implementation contains a function arrangeFilesByName(files)

In your opinion, what does it do?",What is the role of the parameter? what is its type?,What do you think it returns?,"What do you think

profit (units, cost, price)

function does?","What is the purpose of the ""units"" parameter?","What is the purpose of the ""cost"" parameter?","What is the purpose of the ""price"" parameter?",What does this code do?,"Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor.
Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor."
2022-04-11 7:46:02,2022-04-11 7:49:13,Survey Preview,100,190,TRUE,2022-04-11 7:49:14,preview,EN,,,,,,,,,,,,,,,,,,,,
2022-04-11 8:00:17,2022-04-11 8:00:55,Survey Preview,100,37,TRUE,2022-04-11 8:00:56,preview,EN,,,,,,,,,,,,,,,,,,,,
2022-04-11 8:01:41,2022-04-11 8:02:14,Survey Preview,100,32,TRUE,2022-04-11 8:02:15,preview,EN,,,,,,,,,,,,,,,,,,,,
2022-04-11 8:12:17,2022-04-11 8:14:56,Survey Preview,100,158,TRUE,2022-04-11 8:14:58,preview,EN,,ac,acac,ac,acd,sfvvf,vfsfvs,sfvfs,,,,asd,ads,asd,sfvsfv,sfvs,sf,vsfsf,ac,ac
2022-04-11 9:22:41,2022-04-11 9:42:35,IP Address,100,1194,TRUE,2022-04-11 9:42:35,anonymous,EN,3,,,,,,,,,,,"Given an array (or some other data type containing an assortment of files),

sorts the files on some metric, most probably in alphabetical order of the file names.","The ""files"" parameter are the files that would be sorted by the method. In a general implementation, ""files"" would be an array of the ""File"" class objects.","It should return another array of ""File"" objects which are sorted as described earlier.",Calculates the profit by selling the ice cream sandwiches ,"""units"" could be used to determine the profit on the entire batch instead of a single item.","""cost"" could be the manufacturing price of the ice cream sandwich.","""price"" could be the price the sandwiches were sold at.",,
2022-04-11 10:13:22,2022-04-11 10:27:06,IP Address,100,824,TRUE,2022-04-11 10:27:07,anonymous,EN,1,It calculates and returns the amount payable to an employee working for 'hours' hours at 'rate' rate.,It provides imperative information to calculate pay.,It provides imperative information to calculate pay.,"pay (hours, rate) = hours * rate","It checks and marks [row, col] as taken (by the appropriate player, and updates the next player) if it is free, or throws an exception.",It denotes the vertical level of the block to be marked.,It denotes the horizontal level of the block to be marked.,,,,,,,"It computes and returns the amount of profit generated if 'units' unit sandwiches are made at 'cost' cost, sold at 'price' price.",It provides number of ice cream sandwiches to be sold.,It provides production expenditure per ice cream sandwich.,It provides the selling price per unit ice cream sandwich.,,
2022-04-11 9:17:56,2022-04-11 14:03:31,IP Address,100,17135,TRUE,2022-04-11 14:03:32,anonymous,EN,3,It calculates the income of an employee by multiplying rate(in rupees/hour) and hours,It tells the no of hours an employee has worked ,It tells the income of an employee for an hour.,pay = hours × rate,,,,,,,,,,"Calculates profit based on how many units produced, the cost of making it and cost of selling it",More the number of units more will be profit.,Represents cost of sandwich,Selling price,,
2022-04-13 11:40:50,2022-04-13 12:01:33,IP Address,100,1243,TRUE,2022-04-13 12:01:34,anonymous,EN,2,,,,,,,,Mark the given row and col,row in grid,column in grid,sorting files basef on their names' order,"keeps a list of file structure, type=array",a list of file structures,calculate profit from selling,The number of units produced,The cost of making an item,The selling price of an item,,
2022-04-13 13:57:18,2022-04-13 14:08:41,IP Address,100,682,TRUE,2022-04-13 14:08:41,anonymous,EN,3,Calculates payment ,Number of hours worked ,Rate per hour,"pay(hour,rate):
 return hour*rate",Mark the row and column ,denote row in board,denote column in board,,,,sorts the files by name,list of files,arranged order of files ,,,,,,
2022-04-13 22:20:28,2022-04-13 22:28:55,IP Address,100,506,TRUE,2022-04-13 22:28:55,anonymous,EN,2,Gives the total wage of an employee based on the hourly rate and number of hours worked,Total number of hours worked,Hourly rate,return hours*rate,,,,,,,sort files by name,list of files,sorted list of files,,,,,Move the elevator to the selected floor,
2022-04-14 1:49:36,2022-04-15 1:04:26,IP Address,100,83689,TRUE,2022-04-15 1:04:26,anonymous,EN,5,"It calculates the salary of the employee, credited for the actual hours worked by him/her.",The hours denotes the actual working hours of the employee.,The rate denotes the fixed hourly wage value of the employee.,"double pay (double hours, double rate)
{
    return hours * rate;
}",,,,,,,,,,"Calculates the total profit generated by producing ""units"" number of units at ""cost"" investment/unit and ""price"" selling price/unit.

Expected return value: units*(price-cost)",Denoted the number of units produced.,Denotes the cost per unit.,Denotes the selling price per unit.,Determines the number of floors the lift has to go up or go down.,"int max_floor= 10;
bool is_dest[max_floor];    //to note whether the floor is the destination for one trip of the lift
int open_time;  //time till the door remains open

for (int i=0; i<=max_floor; i++)
    is_dest[i]= false;
    
int i= curr_floor;

while (i<=max_floor)
{
    if (is_dest[i])
    {
        open_door(open_time);
        is_dest[i]= false;
        break;
    }
    
    for (; i<=max_floor, i++)   //works for any floor which is the destination
    {
        if (is_dest[i])
            break;
    }
    
}"
2022-04-17 0:44:55,2022-04-17 0:46:19,IP Address,100,83,TRUE,2022-04-17 0:46:19,anonymous,EN,28,none,none,none,none,,,,none,none,none,,,,,,,,n,"none
"
2022-04-11 9:16:47,2022-04-11 9:16:51,IP Address,56,4,FALSE,2022-04-18 9:16:51,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2022-04-11 9:16:36,2022-04-11 9:17:03,IP Address,50,26,FALSE,2022-04-18 9:17:04,anonymous,EN,1,,,,,,,,,,,,,,,,,,,
2022-04-11 9:16:49,2022-04-11 9:17:09,IP Address,41,20,FALSE,2022-04-18 9:17:10,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2022-04-11 9:17:46,2022-04-11 9:17:53,Spam,41,6,FALSE,2022-04-18 9:17:56,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2022-04-11 9:18:07,2022-04-11 9:18:11,IP Address,50,3,FALSE,2022-04-18 9:18:16,anonymous,EN,7,,,,,,,,,,,,,,,,,,,
2022-04-11 9:17:55,2022-04-11 9:18:14,IP Address,54,19,FALSE,2022-04-18 9:18:24,anonymous,EN,11,,,,,,,,,,,,,,,,,,,
2022-04-11 9:16:54,2022-04-11 9:18:28,IP Address,43,93,FALSE,2022-04-18 9:18:43,anonymous,EN,3,,,,,,,,,,,,,,,,,,,
