StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q183_1,Q61,Q62,Q63,Q79,Q80,Q81,Q49,Q50,Q51,Q53,Q54,Q55,Q81,Q82,Q83,Q160,Q84,Q93,Q94,Q95,Q159,Q96,Q99,Q100,Q101,Q102,Q103,Q117,Q118,Q119,Q157,Q158,Q122,Q123,Q124,Q125,Q127,Q126,Q136,Q137,Q138,Q139
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Years of programming/software experience - Years,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the maze?,How would you call the variable holding the location of the cheese today?,How would you call the variable (or data structure) keeping track of where has he already visited?,How would you call the data structure describing the labyrinth?,What do you think the interface does?,What is the purpose of hours parameter?,What is the purpose of rate parameter?,"Complete the above interface pay(hours,rate).",Name the constant containing the value 45:,Name the variable for the hourly wage during overtime pay:,How would you name the variable (or data structure) describing the current state of the game board?,"The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?",Playing requires displaying the board to the user. Propose a function signature for this purpose function_name(parameters),How would you name the variable (or data structure) describing the current state of the game grid?,"The implementation includes a function make_turn(int row, int col)
What do you think it does?","What is the purpose of the ""row"" parameter?","What is the purpose of the ""col"" parameter?",Playing requires displaying the grid to the user. Propose a function signature for this purpose (function name + parameters) function_name(parameters...),The implementation contains a class which describes a file within the system. How would you name the field describing the file’s size?,"The implementation contains a function arrangeFilesByName(files)

In your opinion, what does it do?",What is the role of the parameter? what is its type?,What do you think it returns?,"The implementation includes a function that receives a file, by how much we want to increase it, and the available space on the disk, and checks whether there is enough space. Suggest a signature for this function.","Write an API function signature to help Ori calculate, given the quantities of ingredients he has, how many sandwiches he can produce.","What do you think

profit (units, cost, price)

function does?","What is the purpose of the ""units"" parameter?","What is the purpose of the ""cost"" parameter?","What is the purpose of the ""price"" parameter?",What does this code do?,Replace var1 with a name you would have used.,Replace var2 with a name you would have used.,Replace var3 with a name you would have used.,How would you call the variable describing the state of the elevator’s door (open/closed)?,"Stav wants to check whether the code was properly corrected. She goes into the elevator on the 0 ground floor and presses all the buttons together. It is expected that the elevator will rise and open at each floor.
Write a pseudo code loop that passes all the floors in ascending order from floor 0 and opens the door on each floor.",Name the constant holding the value 4 according to its purpose.,Name the constant holding the value 2000 according to its purpose.,Name the variable holding the number of benefits the client is entitled to during the current month.,"When a customer wants to use a benefit, the system executes a function which works as follows:

Input:

   Number of benefits the customer is entitled to during the current month

   Number of benefits the customer has used during the current month

The function calculates the difference, and returns TRUE if the balance is positive.

Write a function signature for this function."
2022-04-11 7:46:02,2022-04-11 7:49:13,Survey Preview,100,190,TRUE,2022-04-11 7:49:14,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11 8:00:17,2022-04-11 8:00:55,Survey Preview,100,37,TRUE,2022-04-11 8:00:56,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11 8:01:41,2022-04-11 8:02:14,Survey Preview,100,32,TRUE,2022-04-11 8:02:15,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11 8:12:17,2022-04-11 8:14:56,Survey Preview,100,158,TRUE,2022-04-11 8:14:58,preview,EN,,,,,,,,ac,acac,ac,acd,cda,adcad,sfvsfv,sfvvf,vfsfvs,sfvfs,fsvf,,,,,,asd,asd,ads,asd,asd,svs,sfvsfv,sfvs,sf,vsfsf,ac,ac,dca,cda,cad,ac,dca,adc,acd,ac
2022-04-11 9:22:41,2022-04-11 9:42:35,IP Address,100,1194,TRUE,2022-04-11 9:42:35,anonymous,EN,3,,,,cheese_location,visited_rooms,labyrinth.traverse(cheese_location),,,,,,,,,,,,,,,,,size,"Given an array (or some other data type containing an assortment of files),

sorts the files on some metric, most probably in alphabetical order of the file names.","The ""files"" parameter are the files that would be sorted by the method. In a general implementation, ""files"" would be an array of the ""File"" class objects.","It should return another array of ""File"" objects which are sorted as described earlier.","bool check_available_space(file, increment, available_space)","int units_produced(biscuits, ice_cream, wrapping_paper)",Calculates the profit by selling the ice cream sandwiches ,"""units"" could be used to determine the profit on the entire batch instead of a single item.","""cost"" could be the manufacturing price of the ice cream sandwich.","""price"" could be the price the sandwiches were sold at.",,,,,,,max_benefits,benefit_threshold,monthly_benefits,"bool benefit_available(monthly_benefits, max_benefits)"
2022-04-11 10:13:22,2022-04-11 10:27:06,IP Address,100,824,TRUE,2022-04-11 10:27:07,anonymous,EN,1,,,,destination,visited,maze,It calculates and returns the amount payable to an employee working for 'hours' hours at 'rate' rate.,It provides imperative information to calculate pay.,It provides imperative information to calculate pay.,"pay (hours, rate) = hours * rate",FULL_TIME_HOURS,overtime_rate,state_matrix,"It checks and marks [row, col] as taken (by the appropriate player, and updates the next player) if it is free, or throws an exception.",It denotes the vertical level of the block to be marked.,It denotes the horizontal level of the block to be marked.,print_matrix(),,,,,,,,,,,"compute_preparable_quantity(biscuit_count, ice_cream_amount, wrapping_paper)","It computes and returns the amount of profit generated if 'units' unit sandwiches are made at 'cost' cost, sold at 'price' price.",It provides number of ice cream sandwiches to be sold.,It provides production expenditure per ice cream sandwich.,It provides the selling price per unit ice cream sandwich.,,,,,,,,,,
2022-04-11 9:17:56,2022-04-11 14:03:31,IP Address,100,17135,TRUE,2022-04-11 14:03:32,anonymous,EN,3,Cheese_location,Visited,Path,,,,It calculates the income of an employee by multiplying rate(in rupees/hour) and hours,It tells the no of hours an employee has worked ,It tells the income of an employee for an hour.,pay = hours × rate,full_time_hours,Overtime,,,,,,,,,,,,,,,,"Return min(chocolate_biscuit/2, cupsofVanilla/2, no of 20×10 sheets from available sheet)","Calculates profit based on how many units produced, the cost of making it and cost of selling it",More the number of units more will be profit.,Represents cost of sandwich,Selling price,,,,,,,Max_benefits,CostOfBenefit,Current_count_benefits,"Function AvailableBalance(Max_benefits, Current_count_benefits) { return Max_benefits - Current_count_benefits} "
2022-04-13 11:40:50,2022-04-13 12:01:33,IP Address,100,1243,TRUE,2022-04-13 12:01:34,anonymous,EN,2,curr_location,visited,maze,,,,,,,,,,,,,,,curr_grid_state,Mark the given row and col,row in grid,column in grid,display(),fsize,sorting files basef on their names' order,"keeps a list of file structure, type=array",a list of file structures,"is_space_enough(inc_space, avail_space)","int sandwich_produced(int biscuits, double vanilla, int paperLen, int paperWidth){return min({biscuits/2, vanilla*2, paperLen/20, paperWidth/10});}",calculate profit from selling,The number of units produced,The cost of making an item,The selling price of an item,,,,,,,,,,
2022-04-13 13:57:18,2022-04-13 14:08:41,IP Address,100,682,TRUE,2022-04-13 14:08:41,anonymous,EN,3,,,,,,,Calculates payment ,Number of hours worked ,Rate per hour,"pay(hour,rate):
 return hour*rate",full_time,over_time_perhour,curr_state,Mark the row and column ,denote row in board,denote column in board,display(board),,,,,,size,sorts the files by name,list of files,arranged order of files ,"increase_size(file,add, remaining)",,,,,,,,,,,,max_benefits,unit_spend,max_per_month,"bool canAvail(max,used)"
